Attaching to item-app-1, item-db-1
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=6468fb167063
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] modules: none
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten] build environment:
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1   | 2024-09-10T02:54:04.981+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1   | 2024-09-10T02:54:04.982+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1   | 2024-09-10T02:54:04.982+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1   | 2024-09-10T02:54:04.982+0000 I STORAGE  [initandlisten] 
item-db-1   | 2024-09-10T02:54:04.982+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1   | 2024-09-10T02:54:04.982+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1   | 2024-09-10T02:54:04.982+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3073M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1   | 2024-09-10T02:54:05.304+0000 I STORAGE  [initandlisten] WiredTiger message [1725936845:304001][1:0x7fd05e445a40], txn-recover: Set global recovery timestamp: 0
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1   | 2024-09-10T02:54:05.375+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1   | 2024-09-10T02:54:05.376+0000 I CONTROL  [initandlisten] 
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-db-1   | 2024-09-10T02:54:05.376+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: fe6d4bc8-95cf-4433-b6b5-4b4d4bdee7fb
item-db-1   | 2024-09-10T02:54:05.408+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1   | 2024-09-10T02:54:05.408+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: ad9d9539-3ee2-46e1-bd41-868e0319b98a
item-db-1   | 2024-09-10T02:54:05.439+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2024-09-10T02:54:05.439+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1   | 2024-09-10T02:54:05.439+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 41717176-3300-4e9d-9162-50a5b40ada72
item-db-1   | 2024-09-10T02:54:05.439+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1   | 2024-09-10T02:54:05.439+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2024-09-10T02:54:05.487+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1   | 2024-09-10T02:54:05.487+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1   | 2024-09-10T02:54:05.488+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-app-1  | NODE_ENV: production
item-db-1   | 2024-09-10T02:54:05.569+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:36926 #1 (1 connection now open)
item-db-1   | 2024-09-10T02:54:05.572+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:36926 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.10.5-arch1-1" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-app-1  | Connected to database
